iter	Logloss
0	0.6813381155
1	0.6701251255
2	0.6596812743
3	0.6500412681
4	0.6412853029
5	0.6323676977
6	0.6245191927
7	0.61709296
8	0.610248748
9	0.603492645
10	0.5973535249
11	0.5915749967
12	0.5859648936
13	0.5804394481
14	0.5755537394
15	0.5706668027
16	0.5667932909
17	0.5624987257
18	0.5584074306
19	0.5548647976
20	0.551235823
21	0.54778774
22	0.5447390283
23	0.54173951
24	0.5386712779
25	0.535907503
26	0.533565506
27	0.5315413562
28	0.5294821437
29	0.5276634646
30	0.5257122523
31	0.5237580412
32	0.5219555904
33	0.5204119623
34	0.5189374974
35	0.5174532403
36	0.5159105704
37	0.5145166581
38	0.5131857452
39	0.5121338787
40	0.510682362
41	0.5096247013
42	0.508639337
43	0.5077450291
44	0.5065739913
45	0.5054402274
46	0.5044766378
47	0.5035905173
48	0.5027425583
49	0.5019550246
50	0.5012061743
51	0.500423574
52	0.4999024299
53	0.4991200539
54	0.4983877462
55	0.4976521254
56	0.4970875895
57	0.4965179337
58	0.4959926738
59	0.4953754398
60	0.494865212
61	0.4943344235
62	0.4937686476
63	0.4932319559
64	0.4927404093
65	0.4922384857
66	0.4918153034
67	0.4913206893
68	0.4908978636
69	0.4904975862
70	0.4900100788
71	0.4896718424
72	0.4892491231
73	0.4887772063
74	0.4884305272
75	0.4880410601
76	0.4876971675
77	0.4874164882
78	0.4871410727
79	0.4868077084
80	0.4865056934
81	0.4861085682
82	0.4858141925
83	0.4855587411
84	0.4852349927
85	0.4849540462
86	0.4846820696
87	0.4844419707
88	0.4842168032
89	0.4839826163
90	0.4837483026
91	0.4835048064
92	0.4833061888
93	0.4830507558
94	0.4828506227
95	0.4826104567
96	0.4824256361
97	0.4822027107
98	0.4819702298
99	0.4817215977
100	0.4814541657
101	0.4813004783
102	0.481095728
103	0.4808883629
104	0.4807146181
105	0.4804556304
106	0.4802794346
107	0.4800920384
108	0.4799313554
109	0.4798078792
110	0.4796690932
111	0.479483908
112	0.4793287608
113	0.4791828345
114	0.4789686378
115	0.4787697993
116	0.4786006106
117	0.4784605991
118	0.4783069213
119	0.4781625939
120	0.478022841
121	0.4779009068
122	0.4777363319
123	0.4775550286
124	0.4774239179
125	0.477282296
126	0.4771539027
127	0.4770401908
128	0.4768716202
129	0.4767496419
130	0.4766078635
131	0.4764575349
132	0.476336886
133	0.4761800559
134	0.4760515835
135	0.4759281455
136	0.4758346948
137	0.4757106601
138	0.4755761515
139	0.4754475251
140	0.4753623636
141	0.4752647839
142	0.4751838659
143	0.4750456732
144	0.4749207921
145	0.4748160372
146	0.4747039981
147	0.4745788802
148	0.4744701046
149	0.4744041903
150	0.4742860084
151	0.4741926176
152	0.4741111689
153	0.4740032144
154	0.4739312165
155	0.473849216
156	0.4737251847
157	0.4736215352
158	0.4735334712
159	0.4734505064
160	0.4733833007
161	0.4733033993
162	0.4732166806
163	0.4731121204
164	0.4730074231
165	0.4728964704
166	0.4728016748
167	0.4727162391
168	0.4726431756
169	0.4725315031
170	0.4724534494
171	0.4723768757
172	0.4723727826
173	0.4722854909
174	0.4722064346
175	0.4720772695
176	0.4719719668
177	0.4718751242
178	0.4717853045
179	0.4717019248
180	0.4716519203
181	0.4715740814
182	0.4714796286
183	0.4713369344
184	0.4712506778
185	0.4711660427
186	0.4710803581
187	0.4709774491
188	0.4709170623
189	0.4708410982
190	0.4707353362
191	0.4706386328
192	0.4705665111
193	0.4704860891
194	0.4704286949
195	0.4703502293
196	0.4702267356
197	0.4701370814
198	0.4700601402
199	0.4700105762
200	0.4699632032
201	0.4698917451
202	0.4697816051
203	0.4696391363
204	0.4695725389
205	0.4694784893
206	0.4693920702
207	0.4692408463
208	0.4691715324
209	0.4690385856
210	0.4689969233
211	0.4689238795
212	0.4688351787
213	0.4687652596
214	0.4687071745
215	0.4686584822
216	0.4686000448
217	0.4685283174
218	0.4684206304
219	0.4683376603
220	0.4682636775
221	0.4682142399
222	0.4681546256
223	0.4680926368
224	0.4680129656
225	0.4679580178
226	0.467889494
227	0.4678073712
228	0.4677433586
229	0.4676897401
230	0.4675889831
231	0.4675152263
232	0.4674352161
233	0.4673833624
234	0.467321829
235	0.4671927315
236	0.4671519905
237	0.4670681251
238	0.4669769962
239	0.4668951971
240	0.4668425515
241	0.4667677994
242	0.4666351806
243	0.4665380351
244	0.4664659309
245	0.4664085589
246	0.466342518
247	0.4662816055
248	0.4661677492
249	0.4660877657
250	0.4659653187
251	0.4659121671
252	0.4658298742
253	0.4657926289
254	0.4656743446
255	0.465624574
256	0.4655558052
257	0.465508967
258	0.4654467501
259	0.4653844674
260	0.4653302883
261	0.4652464909
262	0.4651719422
263	0.4651035943
264	0.4650132203
265	0.4649429512
266	0.4648351738
267	0.4647124834
268	0.4646367071
269	0.4645963186
270	0.4644926989
271	0.4644416675
272	0.4643700739
273	0.4642761529
274	0.4642108031
275	0.4641845928
276	0.4641044968
277	0.4640520677
278	0.4639836566
279	0.4638729634
280	0.463830298
281	0.4637550315
282	0.4636926073
283	0.4636394877
284	0.4635694424
285	0.4634781739
286	0.4634039217
287	0.4633511665
288	0.4632932061
289	0.4632161596
290	0.4631756264
291	0.4631192534
292	0.4630297592
293	0.4629767193
294	0.4629329253
295	0.4628681571
296	0.4628165765
297	0.4627549826
298	0.4626793913
299	0.4626188106
