iter	Passed	Remaining
0	8	2503
1	14	2166
2	19	1889
3	26	1935
4	32	1892
5	38	1883
6	44	1861
7	49	1821
8	57	1871
9	72	2106
10	80	2104
11	84	2035
12	93	2073
13	99	2026
14	106	2030
15	113	2016
16	119	1985
17	126	1980
18	133	1968
19	140	1973
20	148	1966
21	156	1974
22	163	1965
23	168	1942
24	180	1980
25	187	1977
26	195	1972
27	200	1950
28	207	1935
29	217	1959
30	225	1957
31	234	1963
32	251	2035
33	269	2111
34	309	2344
35	324	2382
36	343	2438
37	366	2524
38	409	2740
39	417	2716
40	429	2715
41	439	2697
42	449	2688
43	458	2670
44	469	2658
45	484	2674
46	508	2734
47	536	2819
48	552	2828
49	577	2887
50	590	2882
51	598	2856
52	609	2839
53	617	2813
54	626	2792
55	637	2779
56	648	2765
57	656	2739
58	664	2716
59	673	2692
60	679	2662
61	687	2640
62	696	2621
63	706	2603
64	714	2582
65	721	2559
66	730	2539
67	739	2521
68	748	2505
69	761	2502
70	769	2480
71	775	2456
72	786	2444
73	797	2435
74	803	2411
75	818	2412
76	825	2390
77	833	2371
78	840	2351
79	850	2339
80	861	2329
81	870	2315
82	876	2292
83	884	2275
84	892	2258
85	903	2248
86	910	2230
87	920	2217
88	932	2210
89	941	2197
90	948	2178
91	956	2163
92	962	2142
93	971	2129
94	977	2109
95	985	2093
96	992	2076
97	998	2058
98	1006	2044
99	1014	2028
100	1023	2016
101	1032	2005
102	1040	1990
103	1050	1979
104	1058	1964
105	1073	1964
106	1079	1947
107	1087	1932
108	1094	1917
109	1103	1906
110	1113	1895
111	1122	1883
112	1131	1872
113	1138	1856
114	1147	1846
115	1161	1841
116	1177	1841
117	1202	1854
118	1249	1900
119	1255	1883
120	1310	1938
121	1327	1937
122	1335	1921
123	1346	1910
124	1353	1894
125	1376	1900
126	1408	1918
127	1415	1902
128	1423	1887
129	1434	1875
130	1442	1860
131	1452	1848
132	1464	1839
133	1472	1824
134	1481	1810
135	1489	1795
136	1496	1780
137	1503	1764
138	1510	1749
139	1518	1735
140	1524	1718
141	1531	1703
142	1538	1689
143	1547	1676
144	1556	1663
145	1564	1649
146	1573	1637
147	1580	1623
148	1587	1609
149	1595	1595
150	1604	1582
151	1613	1570
152	1621	1557
153	1632	1547
154	1641	1535
155	1649	1522
156	1655	1508
157	1664	1496
158	1672	1482
159	1681	1471
160	1691	1460
161	1699	1447
162	1705	1433
163	1715	1422
164	1723	1409
165	1733	1398
166	1743	1388
167	1752	1376
168	1764	1367
169	1773	1356
170	1781	1344
171	1791	1333
172	1797	1319
173	1808	1309
174	1815	1296
175	1827	1287
176	1837	1276
177	1851	1268
178	1869	1263
179	1888	1258
180	1894	1245
181	1902	1233
182	1909	1220
183	1919	1210
184	1929	1199
185	1940	1189
186	1955	1181
187	1976	1177
188	2021	1187
189	2068	1197
190	2089	1192
191	2104	1183
192	2122	1176
193	2129	1163
194	2146	1155
195	2157	1144
196	2183	1141
197	2199	1133
198	2213	1123
199	2219	1109
200	2230	1098
201	2238	1086
202	2246	1073
203	2252	1059
204	2260	1047
205	2267	1034
206	2277	1023
207	2285	1010
208	2296	1000
209	2303	987
210	2314	976
211	2331	967
212	2337	954
213	2344	942
214	2350	929
215	2359	917
216	2367	905
217	2377	894
218	2385	882
219	2393	870
220	2402	858
221	2412	847
222	2418	835
223	2425	822
224	2432	810
225	2441	799
226	2449	787
227	2457	776
228	2465	764
229	2473	752
230	2482	741
231	2490	730
232	2500	718
233	2508	707
234	2515	695
235	2523	684
236	2529	672
237	2538	661
238	2547	650
239	2556	639
240	2565	628
241	2574	616
242	2586	606
243	2594	595
244	2603	584
245	2610	573
246	2618	561
247	2628	551
248	2637	540
249	2645	529
250	2652	517
251	2659	506
252	2670	496
253	2678	485
254	2686	474
255	2699	464
256	2709	453
257	2716	442
258	2725	431
259	2733	420
260	2741	409
261	2754	399
262	2762	388
263	2772	378
264	2780	367
265	2789	356
266	2799	346
267	2807	335
268	2818	324
269	2826	314
270	2838	303
271	2848	293
272	2863	283
273	2876	272
274	2881	261
275	2889	251
276	2903	241
277	2915	230
278	2928	220
279	2942	210
280	2950	199
281	2963	189
282	2978	178
283	2987	168
284	3001	157
285	3024	148
286	3041	137
287	3051	127
288	3067	116
289	3082	106
290	3097	95
291	3110	85
292	3124	74
293	3133	63
294	3148	53
295	3157	42
296	3165	31
297	3181	21
298	3190	10
299	3205	0
