facilities,rating,location
RestaurantBARSwimmingPools,7.8 Very GoodFrom 10 reviews,Stokol
intrnetRestaurantgym,5.6 GoodFrom 4 reviews,Machlessvile
restaurantgympoolBar,7.2 Very GoodFrom 38 reviews,Wanderland
BARRestaurant,7.3 Very GoodFrom 6 reviews,Uberlandia
InternetRestaurant,7.2 Very GoodFrom 30 reviews,Stokol
internet,5.4 GoodFrom 13 reviews,Uberlandia
Bar,7.9 Very GoodFrom 3 reviews,Hallerson
barRestaurant,7.3 Very GoodFrom 7 reviews,Willsmian
intrnetbarRestaurant,,Andeman
intrnetbarrestaurant,7.7 Very GoodFrom 8 reviews,Stokol
restaurantgyminternetbarpool,6.9 Very GoodFrom 23 reviews,Willsmian
barInternetRestaurant,9.6 ExcellentFrom 2 reviews,Stokol
barRestaurant,From 1 review,Stokol
internetRestaurant,,Stokol
Barrestaurant,7.4 Very GoodFrom 50 reviews,Andeman
intrnet,5.4 GoodFrom 13 reviews,Uberlandia
,,Machlessvile
BAR,,Stokol
BARRestaurant,9.6 ExcellentFrom 2 reviews,Andeman
RestaurantpoolbarInternet,2.4 FairFrom 4 reviews,Stokol
BARrestaurant,7.8 Very GoodFrom 4 reviews,Hallerson
RestaurantBAR,9.6 ExcellentFrom 1 review,Stokol
Bar,7.8 Very GoodFrom 2 reviews,Wanderland
InternetRestaurantgymBARPool,7.2 Very GoodFrom 16 reviews,Stokol
poolRestaurant,8.1 ExcellentFrom 3 reviews,Stokol
bar,,Wanderland
swimmingpoolsbarInternet,8.8 ExcellentFrom 36 reviews,Stokol
restaurantBar,8.0 ExcellentFrom 6 reviews,Ubisville
bar,7.4 Very GoodFrom 43 reviews,Hallerson
,6.0 Very GoodFrom 43 reviews,Wanderland
restaurantbar,,Machlessvile
Restaurant,7.2 Very GoodFrom 12 reviews,Uberlandia
internetrestaurantBar,,Stokol
restaurantSwimmingPoolsBAR,8.0 ExcellentFrom 9 reviews,Andeman
Bar,,Andeman
swimmingpoolsrestaurantgymBAR,8.8 ExcellentFrom 2 reviews,Wanderland
restaurantPool,8.1 ExcellentFrom 3 reviews,Wanderland
intrnetrestaurantBARgymswimmingpools,7.2 Very GoodFrom 16 reviews,Willsmian
BarGymintrnetrestaurantpool,7.7 Very GoodFrom 46 reviews,Stokol
swimmingpoolsBARinternetrestaurant,7.9 Very GoodFrom 24 reviews,Andeman
BARRestaurant,6.7 Very GoodFrom 29 reviews,Willsmian
barRestaurant,,Uberlandia
Bar,,Ubisville
InternetRestaurantBar,5.6 GoodFrom 50 reviews,Uberlandia
,,Uberlandia
restaurantbarintrnetswimmingpools,10.0 ExcellentFrom 1 review,Wanderland
